k,v,n,g,m,e,x,c,u
法律,憲法,中華民國憲法,憲法,1947-01-01,,,197,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0000001
法律,憲法,中華民國憲法增修條文,憲法,2005-06-10,,,12,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0000002
法律,憲法,憲法實施之準備程序,憲法,1947-01-01,,,10,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0000003
法律,憲法,訓政結束程序法,憲法,1947-12-25,,,6,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0000004
法律,憲法,動員戡亂時期臨時條款,廢止法規＞憲法,1991-05-01,,廢,11,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0000005
法律,法律,戒嚴時期人民受損權利回復條例,行政＞法務部＞法制目,2000-02-02,,,9,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0000007
法律,法律,中華民國領海及鄰接區法,行政＞內政部＞地政目,1998-01-21,,,18,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0000009
法律,法律,中華民國專屬經濟海域及大陸礁層法,行政＞內政部＞地政目,2023-12-27,,,26,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0000010
法律,法律,戒嚴時期不當叛亂暨匪諜審判案件補償條例,行政＞國防部＞軍法目,2006-12-18,,,18,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=F0120018
法律,憲法,民國八十八年九月二十五日總統緊急命令（九二一震災）,廢止法規＞憲法,1999-09-25,,廢,1,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0000012
法律,法律,國民大會組織法,國民大會（憲法國民大會章條文已停止適用）,2005-05-27,,,16,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0010001
法律,法律,中華民國總統府組織法,總統＞總統府＞組織目,2010-09-01,,,20,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0010012
法律,法律,國策顧問委員會組織條例,廢止法規＞總統府,1997-05-07,,廢,7,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0010013
法律,法律,戰略顧問委員會組織條例,廢止法規＞總統府,1997-05-07,,廢,7,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0010014
法律,法律,稽勳委員會組織條例,廢止法規＞總統府,1997-05-07,,廢,12,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0010015
法律,法律,中央研究院組織法,總統＞總統府＞組織目,2014-01-15,,,32,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0010016
法律,法律,國史館組織條例,總統＞總統府＞組織目,2001-10-24,,,15,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0010017
法律,法律,國父陵園管理委員會組織條例,總統＞總統府＞組織目,1946-07-02,,,15,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0010018
法律,法律,國家安全會議組織法,總統＞國家安全會議＞組織目,2003-06-25,,,16,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0010021
法律,法律,國家安全局組織法,總統＞國家安全會議＞組織目,2020-01-15,,,10,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0010022
法律,法律,國史館臺灣文獻館組織條例,總統＞總統府＞組織目,2001-10-24,,,11,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0010026
法律,法律,行政院組織法,行政＞院本部＞組織目,2025-01-24,2025-09-09,,15,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0010032
法律,法律,行政院原住民族委員會組織條例,廢止法規＞原住民族委員會,2015-12-16,,廢,22,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0000123
法律,法律,行政院公共工程委員會組織條例,行政＞行政院公共工程委員會＞組織目,1995-07-10,,,18,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0010037
法律,法律,行政院經濟建設委員會組織條例,廢止法規＞國家發展委員會,2015-05-20,,廢,20,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0010039
法律,法律,行政院體育委員會組織條例,廢止法規＞教育部,2014-01-15,,廢,22,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=H0000052
法律,法律,行政院客家委員會組織條例,廢止法規＞客家委員會,2015-12-16,,廢,14,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0000129
法律,法律,檔案管理局組織條例,廢止法規＞國家發展委員會,2015-05-20,,廢,13,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0010042
法律,法律,行政院原住民族委員會文化園區管理局組織條例,行政＞原住民族委員會＞組織目,2002-01-30,,,10,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0000128
法律,法律,立法院各委員會組織法,立法,2009-01-23,,,30,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0010043
法律,法律,立法院組織法,立法,2023-12-27,,,43,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0010044
法律,法律,司法院組織法,司法＞院本部＞組織目,2022-01-19,,,22,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0010051
法律,法律,法院組織法,司法＞院本部＞組織目,2026-05-13,,,166,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0010053
法律,法律,最高法院設置分庭條例,司法＞院本部＞組織目,1943-07-20,,,10,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0010054
法律,法律,行政法院組織法,司法＞院本部＞組織目,2022-06-22,,,72,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0010055
法律,法律,懲戒法院組織法,司法＞院本部＞組織目,2020-06-10,,,29,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0010056
法律,法律,法官學院組織法,司法＞院本部＞組織目,2013-05-22,,,13,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0010058
法律,法律,考試院組織法,考試＞院本部＞組織目  ,2023-04-26,,,11,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0010063
法律,法律,考銓處組織條例,廢止法規＞院本部,2023-05-03,,廢,11,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0010064
法律,法律,監察院組織法,監察＞院本部＞組織目,2020-01-08,,,17,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0010071
法律,法律,監察院各委員會組織法,監察＞院本部＞組織目,2021-05-12,,,11,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0010072
法律,法律,監察院監察委員行署組織條例,廢止法規＞院本部,2023-05-03,,廢,12,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0010073
法律,法律,總統副總統選舉罷免法（舊 36.03.31 制定）,廢止法規＞內政部,1999-12-15,,廢,14,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0020001
法律,法律,國民大會同意權行使法,國民大會（憲法國民大會章條文已停止適用）,1992-11-04,,,17,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0020002
法律,法律,國民大會代表報酬及費用支給條例,廢止法規＞國民大會（憲法國民大會章條文已停止適用）,2005-05-27,,廢,8,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0020003
