y,m,n,g,k,u
30.6,1996-02-14,積體電路電路布局規費收費準則,行政＞經濟部＞智慧財產權目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=J0070029
26.5,2000-03-20,行政程序證人鑑定人日費旅費及鑑定報酬支給標準,行政＞法務部＞法律事務目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0030117
26.4,2000-04-19,公害糾紛處理收費辦法,行政＞環境部＞綜合規劃目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=O0080003
26.3,2000-06-21,監察院暨所屬機關訴願文書使用收費標準,監察＞院本部＞院（處）務目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0020178
25.4,2001-04-22,「電信終端設備審驗費」收費標準,行政＞國家通訊傳播委員會＞收費標準目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=K0060058
24.1,2002-08-07,放流水水質水量檢驗測定收費標準,行政＞環境部＞水質保護目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=O0070002
23.7,2002-12-31,寵物登記管理及營利性寵物繁殖買賣或寄養業管理收費標準,行政＞農業部＞動物保護目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=M0060030
23.1,2003-08-26,法院選任律師及第三審律師酬金核定支給標準,司法＞院本部＞民事目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0010037
22.9,2003-11-14,植物種苗疫病蟲害驗證規費收費標準,行政＞農業部＞動植物防檢疫目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=M0140004
22.4,2004-04-21,經濟部事業廢棄物再利用許可審查規費收費標準,行政＞經濟部＞產業目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=J0030076
22.4,2004-05-05,申請經營數位廣播業務規費收費標準,行政＞國家通訊傳播委員會＞收費標準目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=P0050022
22.3,2004-06-16,配合執行機關至第一類電信業者機房執行個案臨時監察之收費標準,行政＞國家通訊傳播委員會＞收費標準目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=K0060072
22.3,2004-06-21,交通部中央氣象局規費收費標準,行政＞交通部＞氣象目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=K0100008
22.2,2004-07-29,醫事人員申請證明書收費標準,行政＞衛生福利部＞醫事目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=L0020078
21.8,2004-11-30,槍砲彈藥及刀械收購價格標準,行政＞內政部＞警政目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080151
21.7,2005-01-19,記帳士證書費收費標準,行政＞財政部＞賦稅目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=G0340113
21.7,2005-01-31,地下水鑿井技工考驗收費標準,行政＞經濟部＞水利目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=J0110054
21.6,2005-02-18,冷凍空調業規費收費標準,行政＞經濟部＞產業目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=J0030082
21.5,2005-03-21,取得華僑身分香港澳門居民工作許可審查收費標準,行政＞勞動部＞就業服務目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=N0080017
21.4,2005-05-09,全國農業金庫執照費收費標準,行政＞農業部＞農業金融目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=M0070026
