n,a,m,t,u
中華民國憲法,第 49 條,1947-01-01,總統缺位時，由副總統繼任，至總統任期屆滿為止。總統副總統均缺位時，由行政院院長代行其職權，並依本憲法第三十條之規定，召集國民大會臨時會，補選總統副總統，其任期以補足原任總統未滿之任期為止。總統因故不能,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0000001
中華民國憲法增修條文,第 1 條,2005-06-10,半年，應於三個月內投票複決，不適用憲法第四條、第一百七十四條之規定。 憲法第二十五條至第三十四條及第一百三十五條之規定，停止適用。,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0000002
中華民國憲法增修條文,第 2 條,2005-06-10,四年，連選得連任一次，不適用憲法第四十七條之規定。 副總統缺位時，總統應於三個月內提名候選人，由立法院補選，繼任至原任期屆滿為止。 總統、副總統均缺位時，由行政院院長代行其職權，並依本條第一項規定補選總統、副總統，繼任至原任期屆滿為止，不適用憲法第四十九條之有關規定。 總統、副總統之,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0000002
中華民國憲法增修條文,第 3 條,2005-06-10,行政院院長由總統任命之。行政院院長辭職或出缺時，在總統未任命行政院院長前，由行政院副院長暫行代理。憲法第五十五條之規定，停止適用。 行政院依左列規定，對立法院負責，憲法第五十七條之規定，停止適用： 一、行政院有向立法院提出施政方針及施政報告之責。立法委員在開會時，有向行政院院長及行政院各,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0000002
中華民國憲法增修條文,第 4 條,2005-06-10,條及增修條文第七條第一項有關規定。 立法委員除現行犯外，在會期中，非經立法院許可，不得逮捕或拘禁。憲法第七十四條之規定，停止適用。,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0000002
中華民國憲法增修條文,第 6 條,2005-06-10,由總統提名，經立法院同意任命之，不適用憲法第八十四條之規定。 憲法第八十五條有關按省區分別規定名額，分區舉行考試之規定，停止適用。,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0000002
中華民國憲法增修條文,第 7 條,2005-06-10,員二十九人，並以其中一人為院長、一人為副院長，任期六年，由總統提名，經立法院同意任命之。憲法第九十一條至第九十三條之規定停止適用。 監察院對於中央、地方公務人員及司法院、考試院人員之彈劾案，須經監察委員二人以上之提議，九人以上之審查及決定，始得提出，不受憲法第九十八條之限制。 監察院對於,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0000002
憲法實施之準備程序,8,1947-01-01,八、依憲法產生之國民大會代表，立法委員，及監察委員，在第四條規定期限屆滿，已選出各達總額三分之二時，得為合法之集會及召集。,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0000003
戒嚴時期人民受損權利回復條例,第 2 條,2000-02-02,本條例所稱戒嚴時期，台灣地區係指自民國三十八年五月二十日起至七十六年七月十四日止宣告戒嚴之期間；金門、馬祖、東沙、南沙地區係指自民國三十七年十二月十日起至八十一年十一月六日止宣告戒嚴之期間。,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0000007
戒嚴時期不當叛亂暨匪諜審判案件補償條例,第 2 條,2006-12-18,本條例所稱戒嚴時期，臺灣地區係指自民國三十八年五月二十日起至七十六年七月十四日止宣告戒嚴之時期；金門、馬祖、東沙、南沙地區係指民國三十七年十二月十日起至八十一年十一月六日止宣告戒嚴之時期。 本條例所稱受裁判者，係指人民,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=F0120018
國民大會組織法,第 14 條,2005-05-27,本法修正施行後，原國民大會秘書處業務，自民國九十二年五月二十日起，由立法院承受之。其人員應於民國九十二年五月二十日前，由行政院會同立法院安置之。,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0010001
中華民國總統府組織法,第 19 條,2010-09-01,本法施行日期，以命令定之。 本法修正條文，自公布日施行。,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0010012
中央研究院組織法,第 12 條,2014-01-15,研究組織及工作興革事宜。 三、促進國內外學術合作及聯繫。 四、受中央政府委託，規劃學術發展方案。 五、中央研究院院長任期屆滿、辭職或出缺時，選舉院長候選人。 六、其他依本法規定掌理之事項。,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0010016
國史館組織條例,第 15 條,2001-10-24,本條例自公布日施行。 本條例修正條文施行日期，由總統府會同行政院以命令定之。,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0010017
國史館臺灣文獻館組織條例,第 11 條,2001-10-24,本條例施行日期，由總統府會同行政院以命令定之。,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0010026
行政院組織法,第 15 條,2025-01-24,本法自中華民國一百零一年一月一日開始施行。 本法修正條文施行日期，由行政院定之。,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0010032
行政院原住民族委員會文化園區管理局組織條例,第 10 條,2002-01-30,本條例施行日期，由行政院以命令定之。,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0000128
立法院各委員會組織法,第 22 條,2009-01-23,六年十一月三十日及十二月七日修正之條文，自立法院第七屆立法委員就職日起施行。 本法中華民國九十八年一月十三日修正之條文，自中華民國九十八年二月一日起施行。,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0010043
立法院組織法,第 13 條,2023-12-27,立法院院長、副院長之任期至該屆立法委員任期屆滿之日為止。 立法院院長綜理院務。 立法院院長因事故不能視事時，由副院長代理其職務。,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0010044
